grid_cell,sentiment_mean,sentiment_count,sentiment_std
32.3250_-86.3050,0.12231308411214954,428,0.05915901737353155
32.3250_-86.3100,0.08106382978723405,470,0.07547247179001516
32.3250_-86.3150,0.07805755395683453,417,0.07502766506918138
32.3250_-86.3200,0.09214285714285714,70,0.08193126948396842
32.3250_-86.3250,0.06857142857142857,70,0.08348020184078905
32.3250_-86.3300,0.072,25,0.07648529270389176
32.3250_-86.3350,0.0,7,0.0
32.3250_-86.3400,0.0,6,0.0
32.3250_-86.3450,0.09,5,0.08215838362577492
32.3300_-86.1300,0.04821428571428571,28,0.07133922984085064
32.3300_-86.1350,0.03695652173913043,69,0.06510860492118233
32.3300_-86.1400,0.04193548387096774,93,0.06768305395316
32.3300_-86.1450,0.035416666666666666,72,0.06415073578228431
32.3300_-86.1500,0.023684210526315787,38,0.055430553221494795
32.3300_-86.1550,0.04285714285714286,14,0.07032108464077431
32.3300_-86.1600,0.0,1,0.0
32.3300_-86.1650,0.043220338983050846,59,0.07396272775144812
32.3300_-86.1700,0.038181818181818185,55,0.07198484689028785
32.3300_-86.1750,0.027777777777777776,27,0.05937710859953544
32.3300_-86.1800,0.075,30,0.08585272072085086
32.3300_-86.1850,0.023333333333333334,45,0.054979334960758415
32.3300_-86.1900,0.10851063829787233,47,0.06782261785762903
32.3300_-86.1950,0.08035714285714286,196,0.07500000000000001
32.3300_-86.2000,0.04085365853658536,246,0.06691208766998975
32.3300_-86.2050,0.056586826347305386,167,0.07475882874959873
32.3300_-86.2100,0.039473684210526314,57,0.06663924874789788
32.3300_-86.2150,0.03333333333333333,9,0.06614378277661476
32.3300_-86.2200,0.07058823529411765,51,0.07561512453751251
32.3300_-86.2250,0.04924242424242424,198,0.07061680260629809
32.3300_-86.2300,0.04396551724137931,116,0.06857403882373926
32.3300_-86.2350,0.0375,20,0.0666392487478979
32.3300_-86.2400,0.05294117647058823,34,0.0727606875108999
32.3300_-86.2450,0.007205240174672489,458,0.03360937621285206
32.3300_-86.2500,0.03402061855670103,194,0.06297725214470942
32.3300_-86.2550,0.07014925373134329,201,0.08487919422296786
32.3300_-86.2600,0.05598086124401914,209,0.07272260002931633
32.3300_-86.2650,0.06654929577464788,142,0.07478618007357377
32.3300_-86.2700,0.026999999999999996,50,0.05821319017374053
32.3300_-86.2750,0.07452229299363057,157,0.07897943468017979
32.3300_-86.2800,0.054878048780487805,164,0.08144016437903043
32.3300_-86.2850,0.06975524475524475,286,0.0749475340964122
32.3300_-86.2900,0.07212765957446808,235,0.07510494567042253
32.3300_-86.2950,0.0725206611570248,242,0.07511436361401076
32.3300_-86.3000,0.08139534883720931,129,0.07501816640452948
32.3300_-86.3050,0.11334164588528678,401,0.0645391779176361
32.3300_-86.3100,0.09705882352941177,612,0.07174132796413225
32.3300_-86.3150,0.08580931263858092,451,0.07429938837623119
32.3300_-86.3200,0.07673076923076923,260,0.07627225047457427
32.3300_-86.3250,0.041666666666666664,108,0.07346561278368434
32.3300_-86.3300,0.11249999999999999,4,0.07500000000000001
32.3300_-86.3350,0.05,15,0.07319250547113999
32.3300_-86.3400,0.08333333333333333,9,0.07905694150420949
32.3300_-86.3450,0.055714285714285716,70,0.07300131880030561
32.3300_-86.3500,0.15,1,0.0
32.3300_-86.3550,0.05454545454545454,22,0.07385489458759964
32.3300_-86.3700,0.09,5,0.08215838362577492
32.3300_-86.3800,0.042,25,0.08124038404635961
32.3300_-86.4050,0.0,1,0.0
32.3300_-86.4350,0.15,1,0.0
32.3350_-86.1250,0.06666666666666667,9,0.07905694150420949
32.3350_-86.1300,0.04615384615384615,13,0.07205766921228922
32.3350_-86.1350,0.05,15,0.07319250547113999
32.3350_-86.1400,0.012,50,0.04110712734268046
32.3350_-86.1450,0.03488372093023256,43,0.06411938615631876
32.3350_-86.1500,0.03636363636363636,33,0.06527912098338667
32.3350_-86.1550,0.00967741935483871,31,0.037459655717206115
32.3350_-86.1600,0.029032258064516127,31,0.06024144966768742
32.3350_-86.1650,0.03515625,64,0.0640434422872475
32.3350_-86.1700,0.03932038834951456,103,0.06629201791364772
32.3350_-86.1750,0.014705882352941176,51,0.0450489929377548
32.3350_-86.1800,0.04285714285714285,42,0.06858449352888188
32.3350_-86.1850,0.075,38,0.07600675645642975
32.3350_-86.1950,0.06075,200,0.07381858449662543
32.3350_-86.2000,0.05255474452554744,274,0.07169358074145522
32.3350_-86.2050,0.05226244343891402,221,0.07163254650964891
32.3350_-86.2100,0.0046875,32,0.026516504294495532
32.3350_-86.2150,0.08199999999999999,75,0.07517547040991064
32.3350_-86.2200,0.04921875,128,0.07070632816459702
32.3350_-86.2250,0.04778761061946902,226,0.07004423381168137
32.3350_-86.2300,0.07285714285714286,70,0.07551068370791822
32.3350_-86.2350,0.03461538461538462,91,0.06354889093022426
32.3350_-86.2400,0.0375,48,0.07256691702703451
32.3350_-86.2450,0.051219512195121955,82,0.07156780854205468
32.3350_-86.2500,0.045,230,0.0716843517666834
32.3350_-86.2550,0.06514285714285714,175,0.07959565302386538
32.3350_-86.2600,0.07374581939799331,299,0.0751152287590494
32.3350_-86.2650,0.06492537313432835,134,0.07683344224752711
32.3350_-86.2700,0.08039215686274509,153,0.07699865303795544
32.3350_-86.2750,0.04583333333333333,36,0.0700764888226735
32.3350_-86.2800,0.08299492385786801,197,0.07476265147608109
32.3350_-86.2850,0.06460396039603959,202,0.07446052467906074
32.3350_-86.2900,0.056801470588235294,272,0.07289271496184206
32.3350_-86.2950,0.05963855421686747,166,0.0736321040510724
32.3350_-86.3000,0.06565836298932384,281,0.0756189508288331
32.3350_-86.3050,0.09301310043668122,229,0.07562085020363479
32.3350_-86.3100,0.08816568047337277,507,0.07450752784261375
32.3350_-86.3150,0.09903381642512077,621,0.07161073412346594
32.3350_-86.3200,0.0886,750,0.07461543596588559
32.3350_-86.3250,0.009846827133479213,457,0.03718992500273545
32.3350_-86.3300,0.075,12,0.07833494518006404
32.3350_-86.3400,0.06666666666666667,36,0.07559289460184543
32.3350_-86.3450,0.06382978723404255,47,0.07496530187184171
32.3350_-86.3500,0.08571428571428572,28,0.07559289460184543
32.3350_-86.3550,0.116875,240,0.06384330484257343
32.3350_-86.3600,0.09782608695652174,23,0.07304771303365108
32.3350_-86.3650,0.07758620689655173,29,0.08617487089856438
32.3350_-86.3700,0.041666666666666664,18,0.06913328984437152
32.3350_-86.3750,0.06923076923076922,26,0.0762586691162691
32.3350_-86.3800,0.03333333333333333,9,0.06614378277661477
32.3350_-86.3850,0.03,5,0.0670820393249937
32.3350_-86.4050,0.0,7,0.0
32.3400_-86.1350,0.075,4,0.08660254037844387
32.3400_-86.1400,0.044444444444444446,27,0.06979824404521127
32.3400_-86.1450,0.023076923076923075,26,0.055191972660467985
32.3400_-86.1500,0.013953488372093023,43,0.044085389809826854
32.3400_-86.1550,0.01935483870967742,31,0.06413192049055175
